DISCOS,formato,estrellas (sobre 5),comentarios,,,
Lightning Bolt - Sonic Citadel,CD,2,,,,
Lou Reed - Transformer,CD,3,,,,
Love of Lesbian - 1999,CD,3,,,,
Lykathea Aflame - Elvenefris,CD,4,,,,
Machine Girl - WLFGRL,LP,2,,,,
Machine Girl - .?.?.?Because I'm Young Arrogant And Hate Everything You Stand For,LP,2,,,,
Machetazo - Ruin,CD,4,,,,
Macintosh Plus - Floral Shoppe,LP,3,,,,
Magdalena Bay - Imaginal Disk,CD,4,,,,
Mammal Hands - Shadow Work,CD,3,,,,
Manolo Kabezabolo - 2001: La Odisea Va Despacio,CD,3,,,,
Manolo Kabezabolo - La Nueva Mayoría,CD,3,,,,
Marea - Besos De Perro,CD,3,,,,
Masayoshi Takanaka - Brasilian Skies,"CD, LP",3,,,,
Mastodon - Remission,CD,2,,,,
Mastodon - Leviathan,CD,3,,,,
Mass Of The Fermenting Dregs ?– ?????????? (World Is Yours),"CD, LP",4,,,,
Megadeth - Killing Is my Business... And Business Is Good!,CD,3,Cover nueva,,,
Megadeth - Peace Sells,CD,2,,,,
Melvins - (A) Senile Animal,CD,3,,,,
"Meshuggah - Destroy, Erase, Improve",CD,4,,,,
Meshuggah - Chaosphere,CD,3,,,,
Meshuggah - Nothing (version original),CD,5,,,,
Meshuggah - obZen,CD,3,,,,
Metallica - Master of Puppets,CD,2,,,,
Mg?a - With Hearts Toward None,CD,3,,,,
Mg?a - Exercises in Futility,CD,3,,,,
"??? (Midori) - ???????????????????? (Aratamemashite, Hajimemashite, Midori Desu)",CD,4,,,,
Milton Nascimento & Lô Borges - Clube Da Esquina,"CD, LP",3,,,,
Mingus - The Black Saint and the Sinner Lady,CD,3,,,,
Misfits - Earth A.D. / Wolfs Blood,CD,3,,,,
Misfits - Static Age,CD,3,,,,
Model/Actriz - Dogsbody,CD,3,,,,
Model/Actriz - Piroutte,CD,3,,,,
Modest Mouse - Good News for People Who Love Bad News,CD,2,,,,
Molchat doma - Etazhi,CD,3,,,,
Moondog - Moondog,LP,3,,,,
Morbid Angel - Altars of Madness,CD,3,cover original,,,
Morbid Angel - Covenant,CD,3,,,,
Morbid Angel - Gateways to Annihilation,CD,4,,,,
Mort Garson - Mother Earth's Plantasia,CD,2,,,,
Mortician - Hacked Up For Barbecue / Zombie Apocalypse,CD,1,,,,
Motörhead - Ace of Spades,CD,2,,,,
Mulatu Astatqé – Éthiopiques 4: Ethio Jazz & Musique Instrumentale 1969-1974,CD,4,,,,
Municipal Waste - Hazardous Mutation,CD,2,,,,
Nails - Unsilent Life,CD,3,,,,
Nails - Abandon All Life,CD,3,,,,
Nails - You Will Never Be One of Us,CD,3,,,,
Naked City - Torture Garden,CD,5,,,,
Naked City - Absinthe,CD,3,,,,
Napalm Death - From Slavement to Obliteration,CD,4,,,,
Napalm Death - Harmony Corruption,CD,2,,,,
Necrophagist - Onset of Putrefaction,CD,3,,,,
Necrophagist - Epitaph,CD,4,,,,
"New Order - Power, Corruption & Lies",CD,1,cover original,,,
Ni Por Favor Ni Ostias - Ni Pa Kaldo...,CD,4,,,,
Ni Por Favor Ni Ostias - El Demonio Ke Llevamos Dentro,CD,3,,,,
Nick Drake - Pink Moon,CD,3,cover original,,,
Nile - Annihilation of the Wicked,Boxset,3,,,,
Nine Inch Nails - The Downward Spiral,CD,3,,,,
Nirvana - MTV Unplugged in New York,CD,2,,,,
Non Servium - Orgullo Obrero (Donde Vamos La Liamos),CD,3,,,,
Non Servium - N.S.A. La Santa Familia,CD,3,,,,
Non Servium - El Imperio del Mal,CD,3,,,,
Non Servium - El Rodillo del Kaos,CD,3,,,,
Nymphomatriarch - Nymphomatriarch,CD,4,preferiblemente promo,,,
Obituary - Cause of Death,CD,3,,,,
Operation Ivy - Energy,LP,4,,,,
Opeth - Still Life,CD,4,,,,
Opeth - In Cauda Venenum,CD,4,version en ingles,,,
Origami Angel - Somewhere City,LP,4,,,,
Origin - Origin,CD,2,,,,
Origin - Antithesis,CD,2,,,,
Ornette Coleman - Free Jazz,CD,3,,,,
Pabellón Psiquiátrico - La Primera en la Frente,LP,3,,,,
Pescado Rabioso - Artaud,CD,3,cover verde entera,,,
Pestilence - Consuming Impulse,CD,3,,,,
Pestilence - Testimony of the Ancient,CD,3,,,,
Petra de Fenetra - Tipico Pero Cierto,CD,3,,,,
Philip Glass - Glassworks,CD,4,cover original,,,
Phlebotomized - Immense Intense Suspense,CD,3,,,,
Pig Destroyer - Prowler in the Yard ,CD,2,,,,
Piperrak - Arde Ribera,CD,2,,,,
Possessed - Seven Churches,CD,2,,,,
The Postal Service - Give Up,CD,4,,,,
Primal Scream - Screamadelica,CD,2,,,,
Primus - Sailing the Seas of Cheese,CD,4,,,,
The Prodigy - Music for the Jilted Generation,CD,2,,,,
Psycroptic - Divine Council,CD,3,,,,
Pyrexia - Sermon Of Mockery,CD,4,,,,
Pyrrhon - Exhaust,"CD, LP",4,,,,
Queen - News of the World,CD,1,,,,
Queens of the Stone Age - In Times New Roman...,CD,2,,,,
R.I.P. - No Te Muevas!,CD,5,,,,
Radiohead - A Moon Shaped Pool,CD,3,,,,
Rammstein - Mutter,CD,2,,,,
Ramones - Ramones,CD,2,,,,
Ratos de Porão - Brasil,CD,2,,,,
Repulsion - Horrified,CD,4,,,,
Rivers of Nihil - Where Owls Know my Name,CD,3,,,,
Robe - Lo que Aletea en Nuestras Cabezas,CD,4,,,,
Robe - Destrozares. Canciones Para el Final de los Tiempos,CD,3,,,,
Robe - Mayéutica,CD,4,,,,
Robe - Se Nos Lleva el Aire,CD,3,,,,
Rodriguez - Cold Fact,CD,2,,,,
Ryo Fukui - Scenary,CD,3,,,,
S.O.D - Speak English or Die,CD,3,cover original,,,
Sadness - I Want To Be There,CD,3,,,,
Sadus - Chemical Exposure,CD,2,,,,
Santana - Abraxas,CD,3,,,,
Sigh - Imaginary Sonicscape,CD,3,,,,
Sigh - Hangman's Hymn,CD,2,,,,
Sin Dios - Alerta Antifascista,"CD, LP",5,,,,
Sin Dios - Ingobernables,CD,3,,,,
Širom - The Liquified Throne of Simplicity,CD,3,,,,
Skeletal Remains - Devouring Mortality,CD,3,,,,
Skrillex - Recess,CD,1,,,,
Slabdragger - Regress,"CD, LP",3,,,,
Slayer - Show no Mercy,CD,3,,,,
Slayer - South of Heaven,CD,3,,,,
Slayer - God Hates Us All,CD,3,,,,
Sleep - Dopesmoker,CD,3,nueva cover,,,
Slipknot - Slipknot,CD,3,,,,
The Smile - A Light for Attracting Attention,CD,4,,,,
The Smile - Wall of Eyes,CD,3,,,,
The Smiths - Hatful of Hollow,CD,3,,,,
The Smiths - The Queen is Dead,CD,3,,,,
